"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","map_class"
"589","1.41135559254901","16.3601446720885","371","0.00776190540358307","3.64935165224394","Sangha","Republic of Congo","31"
"423","1.41108503160824","16.2175590561741","368","0.0101818371783327","6.24346191251684","Sangha","Republic of Congo","31"
"494","1.40594437373363","16.1710225743197","365","0.00251769906007354","2.51190076756348","Sangha","Republic of Congo","31"
"96","1.4054032518521","16.1715636962017","365","0.00251769906007354","2.51190076756348","Sangha","Republic of Congo","31"
"846","1.4054032518521","16.3460755031558","373","0.00634799825964972","4.77654149899494","Sangha","Republic of Congo","31"
"282","1.40296820338517","16.3485105516249","373","0.00634799825964972","4.77654149899494","Sangha","Republic of Congo","31"
"721","1.40134483774056","16.196455302775","364","0.00173290762626155","2.46997951354227","Sangha","Republic of Congo","31"
"299","1.39999203303672","16.2327104688709","369","0.00161744605599293","1.57079632679489","Sangha","Republic of Congo","31"
"236","1.39890978927364","16.3522984047991","377","0.0066536824006781","1.26000115018461","Sangha","Republic of Congo","31"
"756","1.3940396923398","16.3490516735069","376","0.0122717768056227","4.74555617876538","Sangha","Republic of Congo","31"
"624","1.39187520481365","16.3539217704452","377","0.0066536824006781","1.26000115018461","Sangha","Republic of Congo","31"
"734","1.38916959540596","16.3522984047991","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","31"
"859","1.38862847352442","16.3552745751502","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","31"
"317","1.3861934250575","16.3430993328046","371","0.0164827925923371","4.34187707630097","Sangha","Republic of Congo","31"
"635","1.38511118129442","16.3422876499816","371","0.0164827925923371","4.34187707630097","Sangha","Republic of Congo","31"
"688","1.38457005941289","16.3525689657401","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","31"
"800","1.38429949847212","16.3560862579733","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","31"
"224","1.38078220624212","16.3579801845604","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","31"
"239","1.38051164530135","16.3550040142092","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","31"
"413","1.37780603589366","16.3628502814986","361","0.00595215125860806","2.2628765816272","Sangha","Republic of Congo","31"
"87","1.37726491401212","16.3571685017373","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","31"
"433","1.37645323118982","16.3539217704452","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","31"
"397","1.37618267024905","16.3609563549115","361","0.00595215125860806","2.2628765816272","Sangha","Republic of Congo","31"
"179","1.37564154836751","16.3574390626783","372","0.00991077334855223","3.10078271653404","Sangha","Republic of Congo","31"
"764","1.37455930460443","16.3536512095041","354","0.0114037314138916","3.45393916842796","Sangha","Republic of Congo","31"
"402","1.37158313425598","16.3604152330295","357","0.00776151644261138","3.22852997891782","Sangha","Republic of Congo","31"
