"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"233","1.41433176289747","16.3347119436332","370","0.0135631081961194","3.76807369031499","Sangha","Republic of Congo","points","1","2"
"260","1.41162615348978","16.332276895164","351","0.0203701473928778","3.82978157441079","Sangha","Republic of Congo","points","1","2"
"480","1.41135559254901","16.3339002608101","370","0.0135631081961194","3.76807369031499","Sangha","Republic of Congo","points","1","2"
"18","1.41108503160824","16.196996424657","370","0.00413410189986078","0.548796685498823","Sangha","Republic of Congo","points","1","2"
"808","1.41054390972671","16.3217250184645","343","0.0161764303450855","3.59894921452733","Sangha","Republic of Congo","points","1","2"
"317","1.41054390972671","16.3244306278746","343","0.0161764303450855","3.59894921452733","Sangha","Republic of Congo","points","1","2"
"201","1.41027334878594","16.3295712857539","351","0.0203701473928778","3.82978157441079","Sangha","Republic of Congo","points","1","2"
"279","1.40810886125979","15.8674531985019","432","0.00413409787715702","2.59279755949807","Sangha","Republic of Congo","points","1","2"
"183","1.40756773937825","16.3176666043493","332","0.0050086653916736","3.80899254179964","Sangha","Republic of Congo","points","1","2"
"8","1.40729717843748","16.3217250184645","332","0.0050086653916736","3.80899254179964","Sangha","Republic of Congo","points","1","2"
"139","1.40675605655594","16.3241600669336","332","0.0050086653916736","3.80899254179964","Sangha","Republic of Congo","points","1","2"
"469","1.4062149346744","16.3225367012875","332","0.0050086653916736","3.80899254179964","Sangha","Republic of Congo","points","1","2"
"840","1.40594437373363","16.3295712857539","345","0.0143556956370909","4.16589894567579","Sangha","Republic of Congo","points","1","2"
"218","1.40161539868133","16.3271362372848","345","0.0143556956370909","4.16589894567579","Sangha","Republic of Congo","points","1","2"
"408","1.40053315491825","16.3290301638719","345","0.0143556956370909","4.16589894567579","Sangha","Republic of Congo","points","1","2"
"254","1.39809810645133","16.3241600669336","332","0.00727061184779707","0.461084516967315","Sangha","Republic of Congo","points","1","2"
"108","1.39809810645133","16.3257834325797","338","0.00823190433415809","4.6629322564635","Sangha","Republic of Congo","points","1","2"
"302","1.3861934250575","16.3544628923272","378","0.00644258062663668","2.15011059252328","Sangha","Republic of Congo","points","1","2"
"548","1.37861771871597","16.331735773282","349","0.00479849177447929","0.702397114887469","Sangha","Republic of Congo","points","1","2"
"162","1.37699435307135","16.3620385986756","361","0.00595215125860806","2.2628765816272","Sangha","Republic of Congo","points","1","2"
"883","1.37564154836751","16.4791914861347","328","0.00381280808265163","1.4279966895821","Sangha","Republic of Congo","points","1","2"
"587","1.32152936021372","15.8279513011138","453","0.0105634620792831","1.00114114069364","Sangha","Republic of Congo","points","1","2"
"522","1.3155770195168","16.4705335360222","327","0.00327996750142376","1.40459777441433","Sangha","Republic of Congo","points","1","2"
"774","1.31314197104988","16.4699924141402","327","0.00327996750142376","1.40459777441433","Sangha","Republic of Congo","points","1","2"
"736","1.30448402094527","16.4718863407273","326","0.00404344417477131","1.57079632679489","Sangha","Republic of Congo","points","1","2"
"870","1.2998844849522","16.466204560966","337","0.0156794900355311","2.35942502352895","Sangha","Republic of Congo","points","1","2"
"17","1.28338026756529","16.4556526842664","342","0.0129002863065491","1.94768441953708","Sangha","Republic of Congo","points","1","2"
"385","1.23116200599688","16.4946134597725","328","0.00514439719742052","3.46140222717869","Sangha","Republic of Congo","points","1","2"
"138","1.22845639658919","16.4973190691826","328","0.00514439719742052","3.46140222717869","Sangha","Republic of Congo","points","1","2"
"379","1.22061012930689","16.4810854127218","338","0.00360177110017791","2.79810020389461","Sangha","Republic of Congo","points","1","2"
"502","1.2170928370769","16.484873265896","337","0.0025176350535325","0.629656993769292","Sangha","Republic of Congo","points","1","2"
"866","1.2170928370769","16.485414387778","337","0.0025176350535325","0.629656993769292","Sangha","Republic of Congo","points","1","2"
"851","1.17136803808694","16.2056543747695","385","0.0209243663237431","5.65700708413161","Sangha","Republic of Congo","points","1","2"
"665","1.1621689661008","16.4908256065983","347","0.00471904129914286","1.59954646813818","Sangha","Republic of Congo","points","1","2"
"111","1.15675774728542","16.4946134597725","344","0.00557804064557078","0.504337900915237","Sangha","Republic of Congo","points","1","2"
"242","1.12591380003776","16.5308686258683","341","0.00440101204504294","3.96719178287487","Sangha","Republic of Congo","points","1","2"
"790","1.11130350923623","16.5389854540988","341","0.00334754245122461","0.370777666488394","Sangha","Republic of Congo","points","1","2"
"340","0.94436740878178","16.5506195745624","339","0.00192045837827693","5.40134572949207","Sangha","Republic of Congo","points","1","2"
"728","0.899454292614132","16.5757817420767","336","0.00576205368882755","0.513404502155486","Sangha","Republic of Congo","points","1","2"
"97","0.896748683206443","16.5882275453633","329","0.0179644572294713","5.24279570390719","Sangha","Republic of Congo","points","1","2"
"508","0.89214914721337","16.5890392281864","329","0.0179644572294713","5.24279570390719","Sangha","Republic of Congo","points","1","2"
"264","0.820991619791133","16.5882275453633","335","0.0038708033088912","3.77494237044574","Sangha","Republic of Congo","points","1","2"
"875","1.55637625680118","16.119615995527","340","0.00287616516841122","5.5675003441379","Sangha","Republic of Congo","points","1","4"
"721","1.54068372223658","16.1315206769316","347","0.00758572662592248","3.74641795527979","Sangha","Republic of Congo","points","1","4"
"176","1.48170143714894","16.1453192849233","347","0.00102756938014421","5.11959716045388","Sangha","Republic of Congo","points","1","4"
"810","1.46411497599896","16.1531655522127","345","0.0031735181766906","4.49699776621411","Sangha","Republic of Congo","points","1","4"
"203","1.46249161035435","16.1556006006819","345","0.0031735181766906","4.49699776621411","Sangha","Republic of Congo","points","1","4"
"363","1.45951544000589","16.1520833084487","345","0.0031735181766906","4.49699776621411","Sangha","Republic of Congo","points","1","4"
"250","1.45572758683512","16.1547889178588","346","0.00743566450272068","0.574979728362006","Sangha","Republic of Congo","points","1","4"
"421","1.45004580707897","16.1572239663279","346","0.00743566450272068","0.574979728362006","Sangha","Republic of Congo","points","1","4"
"192","1.44869300237513","16.158035649151","358","0.0154541894034697","0.931226823656082","Sangha","Republic of Congo","points","1","4"
"595","1.44706963673052","16.2013253997132","342","0.00230511988218477","1.93167567363328","Sangha","Republic of Congo","points","1","4"
"530","1.44571683202667","16.1642585507943","345","0.00567422713426606","1.12594166700515","Sangha","Republic of Congo","points","1","4"
"125","1.44165841791514","16.1650702336173","347","0.0115653883927148","0.914857888912715","Sangha","Republic of Congo","points","1","4"
"348","1.44057617415206","16.1664230383224","347","0.0115653883927148","0.914857888912715","Sangha","Republic of Congo","points","1","4"
"912","1.44003505227052","16.1864445479575","347","0.00630302121231689","5.84124619216319","Sangha","Republic of Congo","points","1","4"
"489","1.44003505227052","16.2245936406404","351","0.00251771165946864","5.65348655317774","Sangha","Republic of Congo","points","1","4"
"799","1.43895280850745","16.2259464453455","346","0.00365107913509399","0.88714213358594","Sangha","Republic of Congo","points","1","4"
"826","1.43705888192206","16.2332515907529","346","0.00365107913509399","0.88714213358594","Sangha","Republic of Congo","points","1","4"
"829","1.43218878498822","16.2408272971013","347","0.00769073552478323","1.19134841960086","Sangha","Republic of Congo","points","1","4"
"843","1.43137710216592","16.2421801018064","332","0.00187895349971952","1.20147112842153","Sangha","Republic of Congo","points","1","4"
"262","1.42867149275823","16.254625905093","342","0.00732385473578566","4.60102648645346","Sangha","Republic of Congo","points","1","4"
